Tiempo(ms),Distancia(cm)
1803748.991295,2.6511877138091222e-09
1803800.375453,2.6511877138091222e-09
1803851.087733,2.6511877138091222e-09
1803908.275676,2.6511877138091222e-09
1803957.37894,2.6511877138091222e-09
1804005.624687,2.6511877138091222e-09
1804053.975685,2.6511877138091222e-09
1804103.199706,2.6511877138091222e-09
1804151.400125,2.6511877138091222e-09
1804200.620654,2.6511877138091222e-09
1804250.956975,2.6511877138091222e-09
1804301.226387,2.6511877138091222e-09
1804351.141702,2.6511877138091222e-09
1804400.6051389999,2.6511877138091222e-09
1804455.636995,2.6511877138091222e-09
1804503.705482,2.6511877138091222e-09
1804552.0661880001,2.6511877138091222e-09
1804601.113717,4.1257610661205035e-08
1804658.637599,4.1257610661205035e-08
1804707.129048,4.1257610661205035e-08
1804755.751032,4.1257610661205035e-08
1804804.411149,4.1257610661205035e-08
1804852.675542,4.1257610661205035e-08
1804900.6822199998,4.1257610661205035e-08
1804951.2958820001,4.1257610661205035e-08
1805000.934483,4.1257610661205035e-08
1805051.076714,4.1257610661205035e-08
1805100.609923,4.1257610661205035e-08
1805151.343993,4.1257610661205035e-08
1805200.611734,4.1257610661205035e-08
1805250.7775009999,4.1257610661205035e-08
1805300.648465,4.1257610661205035e-08
1805350.714707,4.1257610661205035e-08
1805400.609627,4.1257610661205035e-08
1805450.882041,4.1257610661205035e-08
1805506.567685,4.1257610661205035e-08
1805554.8911640001,4.1257610661205035e-08
1805603.546531,4.1257610661205035e-08
1805652.140438,4.1257610661205035e-08
1805700.392958,4.1257610661205035e-08
1805750.470793,4.1257610661205035e-08
1805800.826808,4.1257610661205035e-08
1805850.772992,4.1257610661205035e-08
1805900.5637780002,4.1257610661205035e-08
1805950.774173,4.1257610661205035e-08
1806000.603651,4.1257610661205035e-08
1806051.239662,4.1257610661205035e-08
1806101.083807,4.1257610661205035e-08
1806151.196563,4.1257610661205035e-08
1806200.635486,4.1257610661205035e-08
1806259.3862070001,4.1257610661205035e-08
1806308.388268,4.1257610661205035e-08
1806357.365885,4.1257610661205035e-08
1806405.622874,4.1257610661205035e-08
1806454.218386,4.1257610661205035e-08
1806502.831428,4.1257610661205035e-08
1806558.8327559999,4.1257610661205035e-08
1806608.181792,4.1257610661205035e-08
1806657.0860050002,4.1257610661205035e-08
1806706.02004,4.1257610661205035e-08
1806754.461272,4.1257610661205035e-08
1806803.094219,4.1257610661205035e-08
1806851.952406,4.1257610661205035e-08
1806900.3773639998,4.1257610661205035e-08
1806950.5355870002,4.1257610661205035e-08
1807000.899075,4.1257610661205035e-08
1807051.180009,4.1257610661205035e-08
1807101.109919,4.1257610661205035e-08
1807151.3247830002,4.1257610661205035e-08
1807200.330546,4.1257610661205035e-08
1807250.707374,4.1257610661205035e-08
1807300.89451,4.1257610661205035e-08
1807350.985265,4.1257610661205035e-08
1807401.393869,4.1257610661205035e-08
1807450.77573,4.1257610661205035e-08
1807500.993177,4.1257610661205035e-08
1807551.1326819998,4.1257610661205035e-08
1807600.935967,4.1257610661205035e-08
1807651.2611810002,6.410547648272313e-10
1807700.601625,2.6511877138091222e-09
1807750.763199,2.6511877138091222e-09
1807801.2066549999,2.6511877138091222e-09
1807851.0567349999,2.6511877138091222e-09
1807901.0486629999,2.6511877138091222e-09
1807950.6105759998,2.6511877138091222e-09
1808001.047048,2.6511877138091222e-09
1808050.370241,2.6511877138091222e-09
1808101.455403,2.6511877138091222e-09
1808151.239692,2.6511877138091222e-09
1808206.758692,2.6511877138091222e-09
1808254.947654,2.6511877138091222e-09
1808304.299342,2.6511877138091222e-09
1808352.3899659999,2.6511877138091222e-09
1808400.3617190002,2.6511877138091222e-09
1808450.576931,2.6511877138091222e-09
1808500.681514,2.6511877138091222e-09
1808551.385758,2.6511877138091222e-09
1808600.447533,2.6511877138091222e-09
1808650.960899,2.6511877138091222e-09
1808708.50999,2.6511877138091222e-09
1808756.500182,2.6511877138091222e-09
1808804.941621,2.6511877138091222e-09
1808853.8253690002,2.6511877138091222e-09
1808903.265197,2.6511877138091222e-09
1808958.89755,2.6511877138091222e-09
1809007.24603,2.6511877138091222e-09
1809055.74013,2.6511877138091222e-09
1809104.473089,2.6511877138091222e-09
1809163.530065,2.6511877138091222e-09
1809211.413259,2.6511877138091222e-09
1809259.491521,2.6511877138091222e-09
1809307.775955,2.6511877138091222e-09
1809355.571567,2.6511877138091222e-09
1809403.412017,2.6511877138091222e-09
1809451.617321,2.6511877138091222e-09
1809500.8461560002,2.6511877138091222e-09
1809550.890604,2.6511877138091222e-09
1809600.256819,2.6511877138091222e-09
1809651.108219,2.6511877138091222e-09
1809704.588046,4.1257610661205035e-08
1809752.279034,4.1257610661205035e-08
1809800.423855,4.1257610661205035e-08
1809851.907324,4.1257610661205035e-08
1809900.2275170002,4.1257610661205035e-08
1809951.3915990002,4.1257610661205035e-08
1810001.162616,4.1257610661205035e-08
1810050.457383,4.1257610661205035e-08
1810100.738036,4.1257610661205035e-08
1810151.0519329999,4.1257610661205035e-08
1810201.068654,4.1257610661205035e-08
1810250.509878,4.1257610661205035e-08
1810300.513748,4.1257610661205035e-08
1810350.717644,4.1257610661205035e-08
1810400.704332,4.1257610661205035e-08
1810456.624081,4.1257610661205035e-08
1810504.387216,4.1257610661205035e-08
1810552.810006,4.1257610661205035e-08
1810601.6010729999,4.1257610661205035e-08
1810657.64528,4.1257610661205035e-08
